"Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","Car","Licence_Plate","Credit_Owner","Child","Var_1","Segmentation"
"Female","Yes",48,"Yes","Homemaker",1,"High",2,6,"1-IKG-136","1",0,"Cat_2","C"
"Female","Yes",46,"Yes","Artist",1,"High",3,6,"1-UHB-940","1",2,"Cat_6","C"
"Male","No",41,"Yes","Entertainment",9,"Low",2,4,"1-GXM-065","0",1,"Cat_6","A"
"Male","Yes",69,"Yes","Artist",1,"Average",NA,8,"1-QLA-345","0",NA,"Cat_3","C"
"Male","No",19,"No","Marketing",0,"Low",5,1,"1-CPJ-790","1",2,"Cat_6","A"
"Male","No",21,"No","Healthcare",0,"Low",4,1,"1-SFN-485","0",3,"Cat_6","D"
"Male","Yes",42,"Yes","Artist",1,"Average",2,6,"1-XGM-706","0",0,"Cat_6","C"
"Male","No",46,"Yes","Artist",0,"Low",2,6,"1-QRG-840","0",2,"Cat_6","B"
"Male","No",32,"Yes","Doctor",0,"Low",4,2,"1-SKR-169","0",2,"Cat_6","A"
"Female","Yes",35,"Yes","Artist",1,"Low",2,4,"1-DDC-205","0",0,"Cat_6","B"
"Male","Yes",79,"No","Lawyer",9,"Low",3,10,"1-CXO-212","0",0,"Cat_6","D"
"Female","Yes",41,"Yes","Artist",6,"Low",1,4,"1-IUH-789","0",0,"Cat_6","D"
"Male","No",42,"Yes","Artist",8,"Low",1,4,"1-POU-741","0",0,"Cat_6","A"
"Male",NA,33,"No","Marketing",1,"High",1,2,"1-BJS-068","1",NA,"Cat_6","D"
"Male","Yes",71,"Yes","Artist",0,"High",2,10,"1-HTE-403","0",0,"Cat_6","B"
"Male","No",39,"Yes","Marketing",1,"Low",4,5,"1-DNZ-311","0",1,"Cat_3","D"
"Male","No",23,"No","Healthcare",0,"Low",4,2,"1-SVR-414","0",2,"Cat_6","D"
"Male","Yes",35,"Yes","Artist",4,"Average",2,4,"1-QDH-585","1",0,"Cat_2","C"
"Male","No",29,"No","Healthcare",0,"Low",4,3,"1-UGK-202","0",4,"Cat_6","D"
"Female","Yes",43,"No","Entertainment",7,"Average",5,4,"1-HHC-530","0",1,"Cat_2","B"
"Female","No",25,"Yes","Healthcare",0,"Low",1,2,"1-VMS-095","0",1,"Cat_6","A"
"Female","Yes",62,"Yes","Lawyer",9,"Average",2,8,"1-QDB-038","0",0,"Cat_4","B"
"Female","Yes",41,"No","Marketing",5,"Average",3,6,"1-SYC-344","0",2,"Cat_6","A"
"Male","No",33,"No","Engineer",0,"Low",4,5,"1-DUT-526","0",4,"Cat_4","A"
"Male","Yes",58,"Yes","Artist",0,"Average",3,7,"1-KSI-351","0",0,"Cat_3","C"
